SN_ID,m1_g,m2_g,m3_g,b2_g,a1_g,a2_g,log_f_g,m1_r,m2_r,m3_r,b2_r,a1_r,a2_r,log_f_r,a2g-a1g,a2r-a1r,a1g-a1r,a2g-a2r,a1_abs_mag-g,+e_a1_abs_mag-g,-e_a1_abs_mag-g,a1_abs_mag-r,+e_a1_abs_mag-r,-e_a1_abs_mag-r,mag_a2g-a1g,mag_a2r-a1r,mag_a1g-a1r,mag_a2g-a2r,t_half-g,t_half_16-g,t_half_84-g,t_half-r,t_half_16-r,t_half_84-r
snztf18,-1.8948985804697527,0.2836709888052294,-0.03463398249991967,-3.682764445560381,6.480501125577836,12.30511194345241,-4.5074089662999555,-1.607324681132786,0.12811191984573062,-0.07273529322742606,-2.1607377595908135,7.679506270806085,14.979879702639947,-4.560905051142621,5.824610817874573,7.300373431833862,-1.1990051452282486,-2.674767759187537,-18.719859738736115,0.2748923712176774,0.22415620821140436,-18.045540918585772,1.125655030783376,1.2765105659380183,1.6451470681728622,0.934739561465765,-0.6608166147547878,0.049590891952309424,3.0799999999999343,2.909999999999938,3.369999999999928,6.339999999999865,3.8699999999999175,8.079999999999828
sn18dfi,-2.581739960386609,0.1433797099327332,-0.053761670396924505,-1.909138437916412,4.969857444629161,14.41761658987733,-2.275822704616573,-0.17095605457916435,0.10831512335372472,-0.05312180587870262,-1.749192654265737,6.830513190149883,13.667015339075668,-2.656726137898824,9.447759145248169,6.836502148925785,-1.860655745520722,0.7506012508016617,-17.642781425792624,0.13791710693800852,0.16269670838521755,-17.447846311954,0.30935821522367535,0.2862179921444512,1.3544318794982702,0.7401807324482913,-0.1873585984621513,0.42689254858782744,5.599999999999881,5.329999999999886,5.929999999999874,11.149999999999762,9.909999999999789,12.749999999999728
sn19rwd,-0.7401445495440206,0.14090141798559797,-0.049149933520291546,-1.9078069822577197,8.353929704832897,14.17480814292625,-2.6481739274292733,-0.47330516872404577,0.091771340908097,-0.029228608731397442,-1.3939254014679288,8.781263407565458,13.807811654806656,-1.9047746618649968,5.820878438093352,5.026548247241198,-0.427333702732561,0.36699648811959307,-16.41046440325364,0.42708228974757745,0.37933572348005473,-16.245070446792866,0.48244931061042884,0.4676950328888152,0.8195698591707123,0.45999894565758986,-0.1434641674422068,0.21610674607091568,6.489999999999862,5.62999999999988,7.729999999999835,6.699999999999857,5.929999999999874,7.659999999999837
sn20ano,,0.4983764954347748,-0.10087950017581576,-6.572783261399817,,14.67075774190645,-4.74967720510411,-0.710381322700604,0.2992398018573079,-0.08447105070851699,-4.218604100789345,9.648473631887219,14.83471490664953,-4.441431789616749,,5.1862412747623114,,-0.1639571647430813,,,,-16.241954745021825,0.6971666919904336,0.6649574112333063,2.395696064244536,1.551124140506023,-0.3263274328055372,0.518244490932976,,,,3.619999999999923,3.149999999999933,4.569999999999903
sn20ikq,-1.0890475588608286,0.09088102590969294,0.011499703988056664,-1.0409603865878312,0.08322322664939114,11.259932896988545,-1.798152451269467,-0.8240104550209313,0.028517800357913445,-0.017441833411597846,-0.561784695925265,-0.01150021083910785,17.540185228317288,-1.1446358179000515,11.176709670339154,17.551685439156397,0.09472343748849898,-6.280252331328743,-18.11200231400479,0.20099744502911288,0.17958596224955414,-17.640031642649365,0.07506337063943863,0.07763859300778408,1.0151410594112484,0.4966836209795153,-0.47484552249928924,0.0436119159324439,8.969999999999809,7.48999999999984,10.739999999999771,18.699999999999605,15.159999999999677,20.439999999999564
sn20rsc,-2.4899487886907687,0.34788503686300853,-0.04502370607120025,-4.761371148216848,7.704197916791106,17.079262709385986,-2.069299308622968,-1.054974417025381,0.1628071494371703,-0.1209439558768186,-2.910198733013196,7.978924480234184,16.734658916919678,-0.6894817422886537,9.37506479259488,8.755734436685493,-0.2747265634430782,0.3446037924663088,-16.474666866367524,0.5945063479598485,0.5416550839324401,-15.99720768572686,0.9136608596780746,0.8705782393811212,3.25968279540632,1.42456255757521,-0.46911019466143666,1.3660100431696733,2.489999999999947,2.3199999999999505,2.679999999999943,5.449999999999884,4.439999999999905,6.839999999999854
sn20sbw,-4.072592593557231,0.3402767927491762,-0.21712278278371727,-4.728208884833127,11.603050307400899,14.895997306338174,-2.264486096602143,-2.9526640516555496,0.6770141605283071,-0.22884949052202713,-9.465049806901352,12.269101628635614,14.298749283841925,-2.95492372143526,3.292946998937275,2.029647655206311,-0.6660513212347148,0.5972480224962489,-16.21678837850857,0.9708166995336107,0.9943161334330384,-16.593893068090587,2.5348177202124376,2.3374955565553037,1.1195106481447659,1.3605012207349532,0.3679501082734604,0.12695953568327312,2.4499999999999478,2.209999999999953,2.81999999999994,1.4299999999999695,1.219999999999974,1.8599999999999604
sn21gno,-2.7069429905250932,0.1403251153759957,-0.09798322341376386,-1.9337043335000383,10.503145554537081,15.018440347138442,-1.4332607319900719,-2.531568973569559,-0.022916206314437557,-0.10510442208653185,0.1906091723974562,10.929793078917655,14.877640948304105,-2.583764628903721,4.515294792601361,3.9478478693864503,-0.42664752438057363,0.14079939883433745,-14.80352125690001,1.3799558175476996,1.479428317519222,-14.39954426267054,0.3422001109764814,0.34375338005641254,0.6328662703457273,-0.09370368949795127,-0.4024624106667092,0.3241075491769694,4.749999999999899,3.6399999999999224,5.499999999999883,0.3099999999999934,0.23999999999999488,0.49999999999998934
sn21heh,,0.19994084958449473,-0.05154788482792681,-2.0973343334923538,,13.624307949052042,-1.1557774990396386,-0.34835892110850525,0.13750898515002585,-0.06586352385316048,-1.8454965573054396,3.9427715111607027,13.988281546525327,-1.620877250779842,,10.045510035364625,,-0.3639735974732847,,,,-18.273708809747333,0.5047411025932753,0.47574528559378493,1.5211487782865474,1.3530884138762256,0.38058041904592543,0.5486407834562473,,,,6.279999999999866,5.329999999999886,8.549999999999818
sn21pb,,0.38371770854557374,-0.09340245233035184,-4.758604205779735,,12.77734625815069,-1.844508682533971,-0.7647481614685759,0.19788720245591718,-0.11763655489514738,-2.7080653005120103,9.19327301816543,13.437362237916528,-1.456083904511559,,4.244089219751098,,-0.6600159797658378,,,,-16.953967279514192,1.9236818898053922,1.9869613829305193,1.1012698235257736,0.8389162350301895,-0.07001273639804273,0.19234085209754137,,,,4.769999999999898,3.699999999999921,6.389999999999864
