JD,filter,mag,ztf_mag_lower,ztf_mag_upper,atlas_mag_err,data_origin,max_ztf_err,mag_err_all,norm_t,norm_m
2459801.9223611,ZTF_g,17.386388758741298,0.017620643293554394,0.0173392350894801,,ztf,0.017620643293554394,0.017620643293554394,9.024236100260168,-1.8579739822472874
2459807.898125,ZTF_g,19.244362740988585,0.10417869681280933,0.09505188056571967,,ztf,0.10417869681280933,0.10417869681280933,15.0,0.0
2459810.8841898,ZTF_g,18.53409826674175,0.036402652526376755,0.03522163172874926,,ztf,0.036402652526376755,0.036402652526376755,17.986064800061285,-0.7102644742468343
2459810.9209606,ZTF_r,18.13525414172702,0.02733744597068366,0.02666599577593587,,ztf,0.02733744597068366,0.02733744597068366,18.022835600189865,-1.109108599261564
2459812.9269329,ZTF_g,18.177396108943626,0.020594952693208768,0.02021155544144193,,ztf,0.020594952693208768,0.020594952693208768,20.028807900380343,-1.0669666320449593
2459814.9208449,ZTF_g,17.909403206499572,0.01711662549694637,0.016850964711135674,,ztf,0.01711662549694637,0.01711662549694637,22.022719900123775,-1.3349595344890126
2459816.9364699,ZTF_g,17.646122555652596,0.013982809332325985,0.013805017015897647,,ztf,0.013982809332325985,0.013982809332325985,24.038344900123775,-1.5982401853359889
2459800.934991,o,18.14,,,0.104,atlas,,0.104,8.036866000387818,-1.1043627409885843
2459800.936801,o,18.359,,,0.124,atlas,,0.124,8.038676000200212,-0.8853627409885831
2459800.94674,o,18.182,,,0.097,atlas,,0.097,8.048615000210702,-1.0623627409885863
2459800.962379,o,18.318,,,0.107,atlas,,0.107,8.064254000317305,-0.9263627409885835
2459801.457392,o,17.647,,,0.076,atlas,,0.076,8.559267000295222,-1.5973627409885864
2459801.460726,o,17.804,,,0.083,atlas,,0.083,8.562601000070572,-1.4403627409885864
2459801.466289,o,17.56,,,0.064,atlas,,0.064,8.568164000287652,-1.6843627409885862
2459801.477277,o,17.694,,,0.07,atlas,,0.07,8.579152000136673,-1.5503627409885858
2459801.779081,o,17.773,,,0.109,atlas,,0.109,8.880956000182778,-1.4713627409885852
2459801.780883,o,17.689,,,0.117,atlas,,0.117,8.882758000399917,-1.5553627409885848
2459801.783738,o,17.642,,,0.136,atlas,,0.136,8.885613000020385,-1.6023627409885854
2459801.798106,o,17.468,,,0.15,atlas,,0.15,8.899980999995023,-1.776362740988585
2459802.652067,o,18.332,,,0.279,atlas,,0.279,9.75394200021401,-0.9123627409885842
2459802.654817,o,18.341,,,0.365,atlas,,0.365,9.75669200019911,-0.9033627409885838
2459802.671595,o,18.333,,,0.264,atlas,,0.264,9.773470000363886,-0.9113627409885865
2459802.958096,o,18.994,,,1.876,atlas,,1.876,10.05997100006789,-0.25036274098858513
2459802.987012,o,17.573,,,0.454,atlas,,0.454,10.088886999990791,-1.6713627409885845
2459802.988836,o,18.084,,,0.937,atlas,,0.937,10.09071100037545,-1.1603627409885853
2459802.991169,o,18.535,,,1.277,atlas,,1.277,10.093044000212103,-0.7093627409885848
2459802.992078,o,18.216,,,1.221,atlas,,1.221,10.093953000381589,-1.0283627409885838
2459802.992988,o,18.357,,,1.134,atlas,,1.134,10.094863000325859,-0.8873627409885856
2459803.003918,o,17.001,,,0.357,atlas,,0.357,10.1057930001989,-2.2433627409885837
2459808.943878,o,18.801,,,0.148,atlas,,0.148,16.045753000304103,-0.4433627409885865
2459808.979121,o,18.601,,,0.115,atlas,,0.115,16.08099600020796,-0.6433627409885858
2459808.986839,o,18.523,,,0.11,atlas,,0.11,16.0887140003033,-0.7213627409885852
2459808.990004,o,18.451,,,0.112,atlas,,0.112,16.091878999955952,-0.7933627409885844
2459810.993172,o,18.349,,,0.079,atlas,,0.079,18.09504700032994,-0.8953627409885847
2459811.021433,o,18.348,,,0.091,atlas,,0.091,18.123308000154793,-0.8963627409885859
2459811.043823,o,18.207,,,0.085,atlas,,0.085,18.14569800021127,-1.0373627409885842
2459811.052426,o,18.324,,,0.087,atlas,,0.087,18.154301000293344,-0.9203627409885833
2459811.729467,c,18.406,,,0.059,atlas,,0.059,18.831342000048608,-0.8383627409885861
2459811.757789,c,18.39,,,0.049,atlas,,0.049,18.859664000105113,-0.8543627409885843
2459811.760947,c,18.362,,,0.056,atlas,,0.056,18.862821999937296,-0.8823627409885866
2459811.766406,c,18.231,,,0.051,atlas,,0.051,18.86828100029379,-1.0133627409885833
2459812.985404,o,17.968,,,0.058,atlas,,0.058,20.08727900031954,-1.276362740988585
2459812.989035,o,17.924,,,0.058,atlas,,0.058,20.09091000026092,-1.3203627409885854
2459812.994459,o,18.021,,,0.086,atlas,,0.086,20.096334000118077,-1.223362740988584
2459813.018757,o,18.073,,,0.069,atlas,,0.069,20.120632000267506,-1.1713627409885845
2459813.540971,o,17.807,,,0.044,atlas,,0.044,20.642846000380814,-1.4373627409885863
2459813.544139,o,17.861,,,0.045,atlas,,0.045,20.646014000289142,-1.3833627409885842
2459813.549567,o,17.879,,,0.059,atlas,,0.059,20.651442000176758,-1.3653627409885836
2459813.582522,o,17.765,,,0.046,atlas,,0.046,20.684397000353783,-1.4793627409885843
2459815.02953,o,17.641,,,0.05,atlas,,0.05,22.131405000109226,-1.6033627409885867
2459815.032757,o,17.756,,,0.061,atlas,,0.061,22.134632000233978,-1.4883627409885847
2459815.061689,o,17.745,,,0.055,atlas,,0.055,22.16356400027871,-1.499362740988584
2459815.067059,o,17.624,,,0.059,atlas,,0.059,22.168934000190347,-1.6203627409885861
2459815.738376,c,17.769,,,0.033,atlas,,0.033,22.84025100013241,-1.4753627409885866
